"y","w","aide","exp","fem","wh","fl","lad","deg","age","urb"
0.152484014049125,0,0,30,1,0,1,1,1,6,0
0.592508194898882,1,0,7,1,1,0,1,1,5,0
0.822127368708856,1,0,21,1,0,0,1,1,6,0
0.943296931034554,1,0,10,0,1,0,1,1,6,0
0.505504448230172,0,1,0,0,0,1,5,1,5,1
0.321702760527715,0,1,8,1,1,0,4,2,6,0
0.787616229923922,0,0,7,0,1,0,1,1,6,0
0.841476283617113,0,0,16,0,1,0,1,1,5,0
0.666248764380508,1,0,5,0,1,1,1,1,5,0
0.405258916741029,0,0,8,0,1,1,1,1,5,0
0.0739102361873515,0,1,17,1,0,1,1,2,5,1
0.655164450269705,0,0,4,1,1,0,1,1,5,0
0.349816202708389,0,0,17,1,1,0,1,1,5,0
0.187485255171506,0,0,1,1,0,1,5,1,5,0
0.841098172639663,1,0,14,0,0,1,3,2,5,0
0.732700816335115,0,0,3,1,1,0,4,1,5,0
0.136475359219151,0,1,13,0,1,1,1,1,6,0
0.551930000090136,1,0,11,1,0,0,1,1,5,0
0.290628830514173,0,1,2,0,1,1,4,1,6,0
0.828306788170502,1,0,10,1,1,0,1,1,5,0
0.0971596566439839,0,1,13,0,1,0,1,1,6,0
0.679406002490564,0,1,17,1,1,1,1,1,5,0
0.482261281318635,0,0,13,0,1,0,1,2,5,0
0.516642029390468,0,1,6,0,1,0,1,2,5,0
0.657585608751569,1,0,15,1,1,1,1,2,6,0
0.933204678678841,1,0,0,0,1,0,5,1,5,0
0.531007364141947,1,0,6,0,1,0,1,1,5,0
0.904109257306305,0,1,18,0,1,0,1,1,6,0
0.599322895540953,0,0,13,0,1,0,1,2,5,0
0.371479498481202,0,1,12,1,1,1,1,1,6,0
0.73287468940507,0,0,1,1,0,1,4,1,5,0
0.544868004665097,0,0,42,1,1,1,1,2,6,0
0.450656222865195,1,0,8,1,1,0,1,2,5,0
0.676784925592421,0,0,13,0,1,1,1,1,6,0
0.677607606741465,0,1,8,0,1,0,1,2,6,0
0.0185896577654779,0,0,19,1,1,1,1,2,6,0
0.405258916741029,0,0,13,0,1,0,1,2,5,0
0.750983859000941,0,0,40,0,0,1,6,1,5,1
0.618804491195178,0,1,3,0,1,0,1,1,5,0
0.900571825171484,1,0,14,0,1,1,1,2,5,0
0.439441926268092,0,1,15,0,1,1,1,2,6,0
0.337589223564697,0,1,21,1,1,0,1,2,5,0
0.348639992308363,0,1,11,1,0,1,1,1,5,1
0.915877552737292,0,1,10,0,0,1,1,1,5,1
0.625010170387797,0,1,8,1,0,0,1,1,5,0
0.967155295962792,0,0,8,1,1,0,1,1,6,0
0.293948634283671,0,1,5,1,1,0,1,2,5,0
0.53480706308645,0,0,13,0,1,0,1,2,5,0
0.5503789755963,0,0,2,0,0,1,5,1,5,1
0.28941001457658,0,1,36,0,0,1,6,1,5,1
0.0783260080655599,1,0,23,1,1,0,6,1,6,0
0.212922581866364,0,0,0,1,0,1,5,1,5,1
0.586933290067873,0,1,3,1,1,0,1,1,5,0
0.168818022695946,0,1,13,0,0,1,1,2,6,1
